DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;NC2R_CE1_P1;NH_CGPRCFH_P1;NH_CGPRCFH_P1S1;NH_CGPRCFH_P1S2;NH_CGPRCFH_P2;NH_CGPRCFH_P3;NH_CGPRCFH_P4;NH_CGPRCFH_P5;NH_CGPRCFH_P6;NH_CGPRCFH_P7;NH_CGPRCFH_P8;FEX_C
135228;4;4;1;2; ; ; ; ; ; ; ; ; ; ;265,667441587795
135228;5;6;1;2; ; ; ; ; ; ; ; ; ; ;265,667441587795
135229;2;2;1;2; ; ; ; ; ; ; ; ; ; ;351,098397447205
135229;3;3;1;2; ; ; ; ; ; ; ; ; ; ;351,098397447205
135229;4;4;1;2; ; ; ; ; ; ; ; ; ; ;351,098397447205
135230;2;2;1;2; ; ; ; ; ; ; ; ; ; ;403,065204980915
135232;1;2;2;1;ALMUERZO VARIADO;11110102;2;7;1;18;49000;1;2;2;555,900654797468
135232;3;3;1;2; ; ; ; ; ; ; ; ; ; ;555,900654797468
135232;4;5;1;2; ; ; ; ; ; ; ; ; ; ;555,900654797468
135234;2;1;1;2; ; ; ; ; ; ; ; ; ; ;851,068093475446
135238;2;2;1;2; ; ; ; ; ; ; ; ; ; ;453,517820800058
135238;3;3;1;2; ; ; ; ; ; ; ; ; ; ;453,517820800058
135239;2;2;1;2; ; ; ; ; ; ; ; ; ; ;606,504900437846
135239;3;3;1;2; ; ; ; ; ; ; ; ; ; ;606,504900437846
135239;4;4;1;2; ; ; ; ; ; ; ; ; ; ;606,504900437846
135241;2;2;1;2; ; ; ; ; ; ; ; ; ; ;591,884912267036
135242;2;2;1;2; ; ; ; ; ; ; ; ; ; ;556,052284618703
135242;3;3;1;2; ; ; ; ; ; ; ; ; ; ;556,052284618703
135243;2;2;1;2; ; ; ; ; ; ; ; ; ; ;222,631166674831
135244;2;2;1;2; ; ; ; ; ; ; ; ; ; ;302,512162214489
135255;2;2;1;2; ; ; ; ; ; ; ; ; ; ;407,38973677121
135257;2;2;1;2; ; ; ; ; ; ; ; ; ; ;613,327465015036
135257;3;3;1;2; ; ; ; ; ; ; ; ; ; ;613,327465015036
143770;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1192,10520183225
143770;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1192,10520183225
143815;2;1;1;2; ; ; ; ; ; ; ; ; ; ;902,689183204314
143816;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1232,13890864383
143817;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1375,55577837058
143817;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1375,55577837058
143817;4;4;1;2; ; ; ; ; ; ; ; ; ; ;1375,55577837058
143824;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1403,50487029106
143824;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1403,50487029106
143824;4;4;1;2; ; ; ; ; ; ; ; ; ; ;1403,50487029106
143824;5;7;1;2; ; ; ; ; ; ; ; ; ; ;1403,50487029106
143824;6;8;1;2; ; ; ; ; ; ; ; ; ; ;1403,50487029106
143826;2;3;1;2; ; ; ; ; ; ; ; ; ; ;1130,83511470498
143826;3;4;1;2; ; ; ; ; ; ; ; ; ; ;1130,83511470498
143834;2;1;1;2; ; ; ; ; ; ; ; ; ; ;880,360951624111
143835;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1402,49251762068
143835;3;3;1;2; ; ; ; ; ; ; ; ; ; ;1402,49251762068
143835;4;4;1;2; ; ; ; ; ; ; ; ; ; ;1402,49251762068
143836;2;2;1;2; ; ; ; ; ; ; ; ; ; ;1078,37357793069
