DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CE_P1;NC2R_CE_P2;NC2R_CE_P4S1;NC2R_CE_P5S2;NC2R_CE_P6;NC2R_CE_P7;NC2R_CE_P8;FEX_C
128988;3;3;1;E1;2; ; ; ; ; ; ;849,932560420115
128988;4;3;2;E2;2; ; ; ; ; ; ;849,932560420115
129000;1;2;1;E1;2; ; ; ; ; ; ;552,29651277154
129000;2;2;2;E2;1;02130102;1;1;6;1300;9;552,29651277154
129000;3;3;1;E1;2; ; ; ; ; ; ;552,29651277154
129000;4;3;2;E2;2; ; ; ; ; ; ;552,29651277154
129001;1;2;3;E1;2; ; ; ; ; ; ;410,699637588749
129001;2;2;4;E2;2; ; ; ; ; ; ;410,699637588749
129001;3;3;1;E1;1;07320103;1;1; ;4500;9;410,699637588749
129001;4;3;2;E1;1;07320207;2;1; ;14000;3;410,699637588749
129001;5;3;3;E1;1;08300203;2;1; ;10000;3;410,699637588749
129001;6;3;4;E2;1;02130101;2;1;6;3200;7;410,699637588749
129001;7;4;1;E1;1;07320207;2;1; ;20000;9;410,699637588749
129001;8;4;2;E2;2; ; ; ; ; ; ;410,699637588749
129002;1;1;1;E1;2; ; ; ; ; ; ;1373,78295705701
129002;2;1;2;E2;1;11110601;10;3;6;7000;3;1373,78295705701
129002;3;3;1;E1;2; ; ; ; ; ; ;1373,78295705701
129002;4;3;2;E2;2; ; ; ; ; ; ;1373,78295705701
129002;5;1;1;E2;1;11110601;10;1;6;5000;9;1373,78295705701
129004;1;2;1;E1;2; ; ; ; ; ; ;832,26201254465
129004;2;2;2;E2;2; ; ; ; ; ; ;832,26201254465
129006;1;1;1;E1;1;07320199;2;1; ;12000;3;776,599428281078
129006;2;1;2;E2;2; ; ; ; ; ; ;776,599428281078
129006;3;3;1;E1;1;07320199;2;1; ;10000;9;776,599428281078
129006;4;3;2;E2;2; ; ; ; ; ; ;776,599428281078
129011;1;1;1;E1;1;07320199;2,66666666666667;1; ;8000;3;1481,47212463169
129011;2;1;2;E2;2; ; ; ; ; ; ;1481,47212463169
129011;3;3;1;E1;1;07320199;2;1; ;8000;4;1481,47212463169
129011;4;3;2;E2;1;08300303;1;1; ;3000;4;1481,47212463169
129014;1;2;1;E1;2; ; ; ; ; ; ;1118,05438472111
129014;2;2;2;E2;2; ; ; ; ; ; ;1118,05438472111
129014;3;3;1;E1;2; ; ; ; ; ; ;1118,05438472111
129014;4;3;2;E2;2; ; ; ; ; ; ;1118,05438472111
129015;1;2;1;E1;2; ; ; ; ; ; ;1356,46847862678
129015;2;2;2;E2;2; ; ; ; ; ; ;1356,46847862678
129015;3;3;1;E1;2; ; ; ; ; ; ;1356,46847862678
129015;4;3;2;E2;2; ; ; ; ; ; ;1356,46847862678
129016;1;1;1;E1;2; ; ; ; ; ; ;1202,66384634045
129016;2;1;2;E2;2; ; ; ; ; ; ;1202,66384634045
129016;3;3;1;E1;2; ; ; ; ; ; ;1202,66384634045
129016;4;3;2;E2;2; ; ; ; ; ; ;1202,66384634045
129016;5;4;1;E1;2; ; ; ; ; ; ;1202,66384634045
129016;6;4;2;E2;2; ; ; ; ; ; ;1202,66384634045
129021;1;1;1;E1;1;07320101;4;1; ;5600;2;1542,89206565332
129021;2;1;2;E2;1;11110601;6;1;6;12000;9;1542,89206565332
129021;3;3;1;E1;1;07220101;1,8;1; ;10000;3;1542,89206565332
129021;4;3;2;E2;2; ; ; ; ; ; ;1542,89206565332
129022;1;1;1;E1;2; ; ; ; ; ; ;1716,08110986809
129022;2;1;2;E2;2; ; ; ; ; ; ;1716,08110986809
129022;3;3;1;E1;2; ; ; ; ; ; ;1716,08110986809
129022;4;3;2;E2;2; ; ; ; ; ; ;1716,08110986809
129022;5;4;1;E1;1;07320101;12;1; ;16800;1;1716,08110986809
129022;6;4;2;E2;2; ; ; ; ; ; ;1716,08110986809
129030;1;2;1;E1;1;07320207;6;1; ;16000;4;553,71729012406
129030;2;2;2;E1;1;08300203;6;1; ;16000;4;553,71729012406
129030;3;2;3;E2;1;02130101;10;1;6;16000;3;553,71729012406
129031;1;2;4;E1;2; ; ; ; ; ; ;398,219809177638
129031;2;2;5;E2;2; ; ; ; ; ; ;398,219809177638
129032;1;1;1;E1;1;07220101;1;1; ;20000;3;1180,47977723551
129032;2;1;2;E1;1;07320101;2;1; ;8400;5;1180,47977723551
129032;3;1;3;E2;1;11110601;2,8;1;4;7000;5;1180,47977723551
129032;4;3;1;E1;2; ; ; ; ; ; ;1180,47977723551
129032;5;3;2;E2;2; ; ; ; ; ; ;1180,47977723551
129032;6;1;2;E2;1;11110601;15;3; ;10000; ;1180,47977723551
129036;1;2;1;E1;1;07320101;12;1; ;16800;3;1556,49945064519
129036;2;2;2;E2;2; ; ; ; ; ; ;1556,49945064519
129041;1;1;1;E1;1;07220101;4;1; ;20000;3;878,884592300625
129041;2;1;2;E1;1;07320207;2;1; ;20000;9;878,884592300625
129041;3;1;3;E1;1;08300203;8;1; ;8000;3;878,884592300625
129041;4;1;4;E2;1;02130101;20;1;6;30000;9;878,884592300625
129041;5;3;1;E1;1;08300203;2;1; ;200;9;878,884592300625
129041;6;3;2;E2;2; ; ; ; ; ; ;878,884592300625
129041;7;4;1;E1;1;08300203;1;1; ;100;9;878,884592300625
129041;8;4;2;E2;2; ; ; ; ; ; ;878,884592300625
129043;1;1;1;E1;2; ; ; ; ; ; ;843,906716477789
129043;2;1;2;E2;1;11110601;10;1;19;16000;4;843,906716477789
129043;3;4;1;E1;2; ; ; ; ; ; ;843,906716477789
129043;4;4;2;E2;2; ; ; ; ; ; ;843,906716477789
129047;1;2;3;E1;2; ; ; ; ; ; ;1291,62779069027
129047;2;2;4;E2;2; ; ; ; ; ; ;1291,62779069027
129066;1;2;1;E1;1;07320207;2;1; ;14000;4;634,742780810683
129066;2;2;2;E1;1;08300203;5;1; ;4000;9;634,742780810683
129066;3;2;3;E2;2; ; ; ; ; ; ;634,742780810683
129067;1;1;1;E1;2; ; ; ; ; ; ;1052,22613377836
129067;2;1;2;E2;2; ; ; ; ; ; ;1052,22613377836
129067;3;3;1;E1;2; ; ; ; ; ; ;1052,22613377836
129067;4;3;2;E2;2; ; ; ; ; ; ;1052,22613377836
129070;1;2;4;E1;1;07220101;1;1; ;25000;4;1099,31596253085
129070;2;2;5;E1;1;08300203;25;1; ;5000;3;1099,31596253085
129070;3;2;6;E2;2; ; ; ; ; ; ;1099,31596253085
129070;4;3;1;E1;2; ; ; ; ; ; ;1099,31596253085
129070;5;3;2;E2;2; ; ; ; ; ; ;1099,31596253085
129070;6;4;1;E1;2; ; ; ; ; ; ;1099,31596253085
129070;7;4;2;E2;2; ; ; ; ; ; ;1099,31596253085
129070;8;5;1;E1;2; ; ; ; ; ; ;1099,31596253085
129070;9;5;2;E2;2; ; ; ; ; ; ;1099,31596253085
129071;1;1;1;E1;2; ; ; ; ; ; ;1179,5200603923
129071;2;1;2;E2;2; ; ; ; ; ; ;1179,5200603923
129071;3;3;1;E1;2; ; ; ; ; ; ;1179,5200603923
129071;4;3;2;E2;2; ; ; ; ; ; ;1179,5200603923
129078;1;2;1;E1;2; ; ; ; ; ; ;1592,87923671055
129078;2;2;2;E2;2; ; ; ; ; ; ;1592,87923671055
129078;3;3;1;E1;2; ; ; ; ; ; ;1592,87923671055
129078;4;3;2;E2;2; ; ; ; ; ; ;1592,87923671055
129078;5;4;1;E1;2; ; ; ; ; ; ;1592,87923671055
129078;6;4;2;E2;2; ; ; ; ; ; ;1592,87923671055
129078;7;5;1;E1;2; ; ; ; ; ; ;1592,87923671055
129078;8;5;2;E2;2; ; ; ; ; ; ;1592,87923671055
133520;1;1;1;E1;2; ; ; ; ; ; ;898,346435158073
133520;2;1;2;E2;2; ; ; ; ; ; ;898,346435158073
133522;1;2;3;E1;2; ; ; ; ; ; ;632,608313612002
133522;2;2;4;E2;2; ; ; ; ; ; ;632,608313612002
133524;1;2;1;E1;2; ; ; ; ; ; ;718,823998362611
133524;2;2;2;E2;2; ; ; ; ; ; ;718,823998362611
133526;1;2;1;E1;2; ; ; ; ; ; ;728,632429394898
133526;2;2;2;E2;2; ; ; ; ; ; ;728,632429394898
133544;1;1;1;E1;2; ; ; ; ; ; ;933,993158705284
133544;2;1;2;E2;1;09430101;3;1; ;6000;2;933,993158705284
133544;3;10;1;E1;2; ; ; ; ; ; ;933,993158705284
133544;4;10;2;E2;2; ; ; ; ; ; ;933,993158705284
133544;5;2;1;E1;1;07220101;6;1; ;60000;1;933,993158705284
133544;6;2;2;E2;2; ; ; ; ; ; ;933,993158705284
133544;7;3;1;E1;2; ; ; ; ; ; ;933,993158705284
133544;8;3;2;E2;2; ; ; ; ; ; ;933,993158705284
133544;9;8;1;E1;2; ; ; ; ; ; ;933,993158705284
133544;10;8;2;E2;2; ; ; ; ; ; ;933,993158705284
133544;11;9;1;E1;2; ; ; ; ; ; ;933,993158705284
133544;12;9;2;E2;2; ; ; ; ; ; ;933,993158705284
133545;1;1;1;E1;2; ; ; ; ; ; ;956,91338538414
133545;2;1;2;E2;2; ; ; ; ; ; ;956,91338538414
133545;3;3;1;E1;2; ; ; ; ; ; ;956,91338538414
133545;4;3;2;E2;2; ; ; ; ; ; ;956,91338538414
133548;1;1;1;E1;2; ; ; ; ; ; ;836,089095078985
133548;2;1;2;E2;2; ; ; ; ; ; ;836,089095078985
133550;1;2;1;E1;2; ; ; ; ; ; ;575,536806756228
133550;2;2;2;E2;2; ; ; ; ; ; ;575,536806756228
133550;3;4;1;E1;2; ; ; ; ; ; ;575,536806756228
133550;4;4;2;E2;2; ; ; ; ; ; ;575,536806756228
133551;1;2;1;E1;2; ; ; ; ; ; ;642,416744644289
133551;2;2;2;E2;2; ; ; ; ; ; ;642,416744644289
133553;1;1;1;E1;1;07320199;1,33333333333333;1; ;4000;9;651,393528015966
133553;2;1;2;E2;2; ; ; ; ; ; ;651,393528015966
133553;3;3;1;E1;2; ; ; ; ; ; ;651,393528015966
133553;4;3;2;E2;2; ; ; ; ; ; ;651,393528015966
134817;1;3;1;E1;1;07320101;2;1; ;4000;9;458,170862982866
134817;2;3;2;E1;1;07340201;2;1; ;30000;9;458,170862982866
134817;3;3;3;E2;2; ; ; ; ; ; ;458,170862982866
134819;1;2;1;E1;1;07320101;15;1; ;30000;5;222,631166674831
134819;2;2;2;E1;1;07340201;2;1; ;30000;5;222,631166674831
134819;3;2;3;E2;2; ; ; ; ; ; ;222,631166674831
134819;4;3;1;E1;1;07320101;15;1; ;30000;5;222,631166674831
134819;5;3;2;E1;1;07340201;2;1; ;15000;5;222,631166674831
134819;6;3;3;E2;2; ; ; ; ; ; ;222,631166674831
135040;1;2;1;E1;1;07320101;2;1; ;5000;4;348,965464408265
135040;2;2;2;E1;1;08300203;2;1; ;5000;4;348,965464408265
135040;3;2;3;E2;1;08300303;2;1; ;1200;2;348,965464408265
135042;1;2;4;E1;2; ; ; ; ; ; ;615,612027875211
135042;2;2;5;E2;2; ; ; ; ; ; ;615,612027875211
135042;3;3;1;E1;1;07320101;2;1; ;6000;3;615,612027875211
135042;4;3;2;E2;2; ; ; ; ; ; ;615,612027875211
135042;5;4;1;E1;2; ; ; ; ; ; ;615,612027875211
135042;6;4;2;E2;2; ; ; ; ; ; ;615,612027875211
135043;1;2;1;E1;1;07320199;2;1; ;3000;3;222,631166674831
135043;2;2;2;E1;1;08300203;2;1; ;3000;3;222,631166674831
135043;3;2;3;E2;2; ; ; ; ; ; ;222,631166674831
135044;1;2;4;E1;1;07320199;2;1; ;5000;2;302,685750558182
135044;2;2;5;E2;2; ; ; ; ; ; ;302,685750558182
135046;1;2;6;E1;2; ; ; ; ; ; ;248,434380164298
135046;2;2;7;E2;1;02130101;5;1;16;10000;9;248,434380164298
135046;3;3;1;E1;2; ; ; ; ; ; ;248,434380164298
135046;4;3;2;E2;2; ; ; ; ; ; ;248,434380164298
135047;1;2;1;E1;2; ; ; ; ; ; ;222,631166674831
135047;2;2;2;E2;1;02130102;3;3;6;6000;3;222,631166674831
135050;1;2;3;E1;2; ; ; ; ; ; ;222,631166674831
135050;2;2;4;E2;2; ; ; ; ; ; ;222,631166674831
135075;1;2;1;E1;2; ; ; ; ; ; ;613,327465015036
135075;2;2;2;E2;2; ; ; ; ; ; ;613,327465015036
135075;3;3;1;E1;2; ; ; ; ; ; ;613,327465015036
135075;4;3;2;E2;2; ; ; ; ; ; ;613,327465015036
