DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CA_P3;NC2R_CJ_P4_S1A2;NC2R_CA_P4_S1;NC2R_CA_P5_S1;NC2R_CA_P6_S1;NC2R_CA_P7_S1;NC2R_CA_P8_S1;FEX_C
133548;1;1;1;J1; ; ; ; ; ; ; ;836,089095078985
133550;1;1;1;J1; ; ; ; ; ; ; ;575,536806756228
133551;1;1;1;J1; ; ; ; ; ; ; ;642,416744644289
133552;1;1;1;J1; ; ; ; ; ; ; ;1017,95391860532
133553;1;1;1;J1; ; ; ; ; ; ; ;651,393528015966
134817;1;1;1;J1; ; ; ; ; ; ; ;458,170862982866
134818;1;1;1;J1; ; ; ; ; ; ; ;605,864082756501
134819;1;1;1;J1; ; ; ; ; ; ; ;222,631166674831
135040;1;1;1;J1; ; ; ; ; ; ; ;348,965464408265
135042;1;1;1;J1; ; ; ; ; ; ; ;615,612027875211
135043;1;1;1;J1; ; ; ; ; ; ; ;222,631166674831
135044;1;1;1;J1; ; ; ; ; ; ; ;302,685750558182
135046;1;1;1;J1; ; ; ; ; ; ; ;248,434380164298
135047;1;1;1;J1; ; ; ; ; ; ; ;222,631166674831
135049;1;1;1;J1; ; ; ; ; ; ; ;440,154519537664
135050;1;1;1;J1; ; ; ; ; ; ; ;222,631166674831
135075;1;1;1;J1; ; ; ; ; ; ; ;613,327465015036
135077;1;1;1;J1; ; ; ; ; ; ; ;302,685750558182
135177;1;1;1;J1; ; ; ; ; ; ; ;399,13689694191
135207;1;1;1;J1; ; ; ; ; ; ; ;302,512162214489
135228;1;1;1;J1; ; ; ; ; ; ; ;265,667441587795
135229;1;1;1;J1; ; ; ; ; ; ; ;351,098397447205
135230;1;1;1;J1; ; ; ; ; ; ; ;403,065204980915
135231;1;1;1;J1; ; ; ; ; ; ; ;646,136282660921
135232;1;1;1;J1; ; ; ; ; ; ; ;555,900654797468
135233;1;1;1;J1; ; ; ; ; ; ; ;405,105173911035
135234;1;1;1;J1; ; ; ; ; ; ; ;851,068093475446
135238;1;1;1;J1; ; ; ; ; ; ; ;453,517820800058
135239;1;1;1;J1; ; ; ; ; ; ; ;606,504900437846
135240;1;1;1;J1; ; ; ; ; ; ; ;505,484628333768
135241;1;1;1;J1; ; ; ; ; ; ; ;591,884912267036
135242;1;1;1;J1; ; ; ; ; ; ; ;556,052284618703
135243;1;1;1;J1; ; ; ; ; ; ; ;222,631166674831
135244;1;1;1;J1; ; ; ; ; ; ; ;302,512162214489
135245;1;1;1;J1; ; ; ; ; ; ; ;547,926350632571
135247;1;1;1;J1; ; ; ; ; ; ; ;1613,12213267421
135255;1;1;1;J1; ; ; ; ; ; ; ;407,38973677121
135256;1;1;1;J1; ; ; ; ; ; ; ;453,273226870003
135257;1;1;1;J1; ; ; ; ; ; ; ;613,327465015036
143770;1;1;1;J1; ; ; ; ; ; ; ;1192,10520183225
143814;1;1;1;J1; ; ; ; ; ; ; ;981,73848915636
143815;1;1;1;J1; ; ; ; ; ; ; ;902,689183204314
143816;1;1;1;J1; ; ; ; ; ; ; ;1232,13890864383
143817;1;1;1;J1; ; ; ; ; ; ; ;1375,55577837058
143824;1;1;1;J1; ; ; ; ; ; ; ;1403,50487029106
143825;1;1;1;J1; ; ; ; ; ; ; ;1276,78516777768
143826;1;1;1;J1; ; ; ; ; ; ; ;1130,83511470498
143827;1;1;1;J1; ; ; ; ; ; ; ;1088,26377552162
143834;1;1;1;J1; ; ; ; ; ; ; ;880,360951624111
143835;1;1;1;J1; ; ; ; ; ; ; ;1402,49251762068
143836;1;1;1;J1; ; ; ; ; ; ; ;1078,37357793069
143837;1;1;1;J1; ; ; ; ; ; ; ;1130,15243100743
143838;1;1;1;J1; ; ; ; ; ; ; ;1372,68272202523
143843;1;1;1;J1; ; ; ; ; ; ; ;1224,32363100338
143844;1;1;1;J1; ; ; ; ; ; ; ;1575,69242045614
143845;1;1;1;J1; ; ; ; ; ; ; ;1392,98068045762
143846;1;1;1;J1; ; ; ; ; ; ; ;754,27524135324
143850;1;1;1;J1; ; ; ; ; ; ; ;754,27524135324
148172;1;1;1;J1; ; ; ; ; ; ; ;268,143768464391
148173;1;1;1;J1; ; ; ; ; ; ; ;488,267558383505
148174;1;1;1;J1; ; ; ; ; ; ; ;281,8141341471
148177;1;1;1;J1; ; ; ; ; ; ; ;346,865599692143
148178;1;1;1;J1; ; ; ; ; ; ; ;259,698884781427
148179;1;1;1;J1; ; ; ; ; ; ; ;444,837447472543
148180;1;1;1;J1; ; ; ; ; ; ; ;333,689128741026
148181;1;1;1;J1; ; ; ; ; ; ; ;327,910987333575
148182;1;1;1;J1; ; ; ; ; ; ; ;284,836450451323
148307;1;1;1;J1; ; ; ; ; ; ; ;808,960695315953
148308;1;1;1;J1; ; ; ; ; ; ; ;1205,29248179276
148309;1;1;1;J1; ; ; ; ; ; ; ;1499,48331242122
148310;1;1;1;J1;11110102;2;10;3; ;60000; ;1571,90953638208
148311;1;1;1;J1;11110102;2;10;3; ;50000; ;1411,51521500002
148312;1;1;1;J1; ; ; ; ; ; ; ;1241,70465160409
148313;1;1;1;J1;11110414;4;5;3; ;15000; ;1295,15862749755
148583;1;1;1;J1; ; ; ; ; ; ; ;482,120945579158
148585;1;1;1;J1; ; ; ; ; ; ; ;282,657591195881
148586;1;1;1;J1; ; ; ; ; ; ; ;390,810170483967
148587;1;1;1;J1; ; ; ; ; ; ; ;373,501048420271
148588;1;1;1;J1; ; ; ; ; ; ; ;399,234489017662
148589;1;1;1;J1; ; ; ; ; ; ; ;385,121111904232
148590;1;1;1;J1; ; ; ; ; ; ; ;344,051250179991
148591;1;1;1;J1; ; ; ; ; ; ; ;308,818054272124
148750;1;1;1;J1; ; ; ; ; ; ; ;534,621331630844
148751;1;1;1;J1; ; ; ; ; ; ; ;548,559072298295
148752;1;1;1;J1; ; ; ; ; ; ; ;670,482158873047
148753;1;1;1;J1; ; ; ; ; ; ; ;270,412697148375
148755;1;1;1;J1; ; ; ; ; ; ; ;490,793646202772
148757;1;1;1;J1; ; ; ; ; ; ; ;270,412697148375
148758;1;1;1;J1; ; ; ; ; ; ; ;615,491612925941
148759;1;1;1;J1; ; ; ; ; ; ; ;418,90552358064
148760;1;1;1;J1; ; ; ; ; ; ; ;496,763325367342
148761;1;1;1;J1; ; ; ; ; ; ; ;311,07998464376
148763;1;1;1;J1; ; ; ; ; ; ; ;425,388940382382
148765;1;1;1;J1; ; ; ; ; ; ; ;385,964568953013
148766;1;1;1;J1; ; ; ; ; ; ; ;361,982965132212
148767;1;1;1;J1; ; ; ; ; ; ; ;364,217790984236
148768;1;1;1;J1; ; ; ; ; ; ; ;265,387943361162
148777;1;1;1;J1; ; ; ; ; ; ; ;361,462324060924
148778;1;1;1;J1; ; ; ; ; ; ; ;462,396965558758
148780;1;1;1;J1; ; ; ; ; ; ; ;350,862679848348
148781;1;1;1;J1; ; ; ; ; ; ; ;426,868171272309
148782;1;1;1;J1; ; ; ; ; ; ; ;423,958619716489
148783;1;1;1;J1; ; ; ; ; ; ; ;481,665701340461
148785;1;1;1;J1; ; ; ; ; ; ; ;480,708022179444
148786;1;1;1;J1; ; ; ; ; ; ; ;293,176253187203
148797;1;1;1;J1; ; ; ; ; ; ; ;1466,38849641551
148798;1;1;1;J1;11110102;2;5;3; ;25000; ;1493,32452073595
148799;1;1;1;J1; ; ; ; ; ; ; ;1634,74659405062
148836;1;1;1;J1; ; ; ; ; ; ; ;490,793646202772
148837;1;1;1;J1; ; ; ; ; ; ; ;373,641968716526
148838;1;1;1;J1; ; ; ; ; ; ; ;548,559072298295
148840;1;1;1;J1; ; ; ; ; ; ; ;546,081281301052
148841;1;1;1;J1; ; ; ; ; ; ; ;377,465202143428
148845;1;1;1;J1; ; ; ; ; ; ; ;495,15424214603
148846;1;1;1;J1; ; ; ; ; ; ; ;377,022866845224
148847;1;1;1;J1; ; ; ; ; ; ; ;456,627845303429
148848;1;1;1;J1; ; ; ; ; ; ; ;495,15424214603
148850;1;1;1;J1; ; ; ; ; ; ; ;343,151267440238
148851;1;1;1;J1; ; ; ; ; ; ; ;531,927891038987
148852;1;1;1;J1;11110101;1;1;3; ;4000; ;361,462324060924
148853;1;1;1;J1; ; ; ; ; ; ; ;361,462324060924
148866;1;1;1;J1; ; ; ; ; ; ; ;377,465202143428
148867;1;1;1;J1; ; ; ; ; ; ; ;795,180125596217
148869;1;1;1;J1; ; ; ; ; ; ; ;373,641968716526
148872;1;1;1;J1; ; ; ; ; ; ; ;331,156509859471
148873;1;1;2;J1;11110102;2;1;4; ;5000; ;657,977071782996
148873;2;1;3;J1;11110103;3;1;4; ;5000; ;657,977071782996
148875;1;1;1;J1; ; ; ; ; ; ; ;306,70942808888
148876;1;1;1;J1; ; ; ; ; ; ; ;609,201305317751
148877;1;1;1;J1; ; ; ; ; ; ; ;373,829357481148
148879;1;1;1;J1; ; ; ; ; ; ; ;373,641968716526
148880;1;1;1;J1; ; ; ; ; ; ; ;547,42350787207
148881;1;1;1;J1; ; ; ; ; ; ; ;553,330481386801
148882;1;1;1;J1; ; ; ; ; ; ; ;367,43790605062
148884;1;1;1;J1; ; ; ; ; ; ; ;428,929603814806
148885;1;1;1;J1; ; ; ; ; ; ; ;1016,63686209399
148887;1;1;1;J1; ; ; ; ; ; ; ;373,641968716526
148888;1;1;1;J1; ; ; ; ; ; ; ;428,632514663632
148895;1;1;1;J1;11110101;1;8;3; ;72000; ;338,67902276595
148895;2;1;2;J1;11110102;2;6;3; ;84000; ;338,67902276595
148898;1;1;1;J1;11110101;1;1;3; ;6000; ;463,636925604005
148898;2;1;2;J1;11110102;2;1;3; ;6000; ;463,636925604005
148898;3;1;3;J1;11110103;3;1;3; ;4000; ;463,636925604005
148899;1;1;1;J1; ; ; ; ; ; ; ;463,636925604005
148900;1;1;1;J1; ; ; ; ; ; ; ;679,38151384492
148903;1;1;1;J1; ; ; ; ; ; ; ;1330,06162216145
148904;1;1;1;J1; ; ; ; ; ; ; ;820,606184120694
148907;1;1;1;J1;11110101;1;5;3; ;25000; ;978,187582079432
148907;2;1;2;J1;11110102;2;5;3; ;30000; ;978,187582079432
148908;1;1;1;J1; ; ; ; ; ; ; ;362,665655273195
148909;1;1;1;J1; ; ; ; ; ; ; ;1338,97880457839
148910;1;1;1;J1; ; ; ; ; ; ; ;700,534368201935
148916;1;1;1;J1; ; ; ; ; ; ; ;426,868171272309
148917;1;1;1;J1; ; ; ; ; ; ; ;476,843185525344
148918;1;1;1;J1; ; ; ; ; ; ; ;422,992932413342
148919;1;1;1;J1; ; ; ; ; ; ; ;571,281435253811
148921;1;1;1;J1; ; ; ; ; ; ; ;525,181659859743
148922;1;1;1;J1; ; ; ; ; ; ; ;350,862679848348
148923;1;1;1;J1; ; ; ; ; ; ; ;501,791418462152
148929;1;1;1;J1;11110105;2;1;3; ;15000; ;463,636925604005
