"DIRECTORIO";"Gto_CapC"
119935;123100
119936;47000
119937;130000
119938;155500
119939;66200
119942;27500
119945;284200
119946;31000
119948;14500
119949;64500
119950;55100
119951;4500
119952;13200
119953;18200
119954;39600
119959;24800
119961;15000
119964;208900
119965;3000
119967;16500
119970;35800
119971;20000
119972;22700
119973;18000
119980;16000
119982;39000
119984;50000
119985;29000
119996;1000
120001;15000
120002;27000
120006;20300
120010;15000
120011;35000
120012;15200
120013;1200
120021;14200
120026;25900
120029;5300
120032;12000
120034;25000
120035;1600
120036;6100
120037;11100
120048;121250
120049;15000
120053;22500
120055;23000
120056;378200
120060;800
120061;5200
120062;33200
120063;600
120064;1800
120065;3200
120067;15000
120069;194300
120070;3500
120073;8600
120086;6000
120098;35700
120105;31800
120107;287000
120115;3500
120123;17900
120125;93000
120127;180950
120129;179388
120130;54950
120132;31200
120134;72500
120138;379800
120142;30650
120149;5800
120154;20000
120161;6000
120167;6000
120168;9300
120169;6500
120173;88000
120174;58700
120175;9733.33333333333
120176;15000
120177;30000
120179;72700
120180;94600
120181;30000
120182;47500
120183;91900
120184;39200
120185;62000
120186;104100
120187;69800
120188;77050
120189;124635
120190;1000
120191;26500
120192;157066
120193;117200
120194;4000
120195;86500
120196;17500
120197;63000
120198;31000
120199;99400
120201;217000
120210;86900
120211;89200
120213;7600
120214;30000
120216;16000
120217;36000
120219;15900
120220;21000
120222;41300
120224;14000
120225;6000
120226;4000
120228;20600
120229;800
120230;16800
120232;32700
120233;3800
120234;40000
120238;4100
120239;39300
120240;26000
120242;112000
120243;51000
120245;392033.333333333
120246;380200
120258;55000
120259;112500
120260;52500
120261;36633.3333333333
120262;138500
120263;118500
120264;126600
120268;3000
120276;238000
120277;70000
120278;116000
120280;90200
120282;28000
120287;194600
120289;437000
120290;25100
120291;18200
120292;22000
120293;32233.3333333333
120299;3700
120301;215200
120302;30000
120304;208900
120307;102000
120311;6100
120312;20900
120313;5500
120314;26000
120315;98000
120318;7700
120321;1000
120331;20000
120332;12000
120336;18500
120337;155400
120338;10000
120340;10000
120341;12000
120342;66000
120343;21000
120344;2000
120345;26200
120346;27700
120347;24000
120348;52000
120349;7000
120350;25000
120351;5000
120354;33000
120356;29000
120360;15000
120362;15040
120363;52500
120364;79600
120365;25000
120366;42500
120367;97500
120369;119500
120372;38200
120376;9000
120379;10000
120380;19000
120382;3200
120384;13000
120386;28300
120389;750
120393;4200
120394;16500
120399;10000
120402;56000
120403;61700
120407;541100
120410;88700
120411;11050
120415;172400
120418;6000
120420;20000
120423;41200
120425;44000
120426;15400
120428;1300
120429;48000
120431;18000
120432;3200
120433;108200
120434;58500
120436;61500
120440;56900
120443;49200
120448;24000
120450;80100
120451;192500
120459;110000
120460;14500
120466;9000
120468;29100
120471;11200
120474;8500
120475;11500
120477;9000
120480;29200
120481;48000
120482;48000
120483;240000
120484;2000
120485;1200
120487;62000
120488;16500
120489;131700
120490;85500
120491;34500
120494;8500
120501;67000
120503;21900
120504;12000
120505;69250
120506;38566.6666666667
120507;40800
120509;27000
120510;100900
120513;116000
120515;156500
120524;62700
120525;39600
120532;113900
120537;18600
120538;28900
120543;125000
120544;35700
120548;86700
120551;179200
120552;79500
120559;6600
120562;48100
120563;199400
120564;77100
120567;44200
120576;12500
120578;2000
120579;4000
120581;163700
120582;13700
120584;51700
120585;117300
120587;38200
120588;1000
120589;56500
120590;4500
120591;65000
120592;52000
120593;55500
120594;12500
120595;43533.3333333333
120596;55000
120597;9000
120599;48500
120600;51900
120602;3000
120605;71800
120606;202900
120607;154400
120608;53300
120610;11800
120613;42000
120620;129900
120622;58400
120623;117330
120628;116500
120633;79600
120636;115900
120638;24600
120639;12133.3333333333
120641;124000
120647;22800
120649;3900
120651;43700
120654;41433.3333333333
120656;48160
120657;274300
120662;213000
120663;25000
120664;31400
120668;19700
120669;27000
120670;41000
120671;18200
120673;33800
120674;60300
120677;10200
120683;76000
120684;33900
120694;102500
120702;11100
120706;32300
120708;37000
120709;13000
120710;5000
120711;20000
120712;33000
120714;10000
120716;95400
120717;23000
120720;32000
120722;47400
120725;35000
120726;12000
120727;49000
120728;237800
120729;28500
120730;9600
120731;117100
120732;7500
120734;91100
120735;327200
120737;7000
120738;32600
120740;30500
120742;9000
120743;9500
120746;12000
120747;35000
120750;6800
120751;18000
120752;136500
120753;39000
120754;78200
120759;61100
120760;124600
120763;54000
120764;135900
120765;22000
120767;29000
120773;22250
120777;15600
120781;52000
120782;23000
120783;2200
120784;11000
120785;137700
120786;28050
120789;531600
120790;23000
120791;4050
120792;12600
120793;113550
120796;9200
120797;41600
120799;12000
120804;31000
120805;40000
120807;22700
120809;12000
120810;7000
120814;15900
120815;3500
120818;76900
120819;34700
120829;10000
120835;1500
120838;9100
120848;363300
120857;19000
120860;42700
120863;35500
120864;50150
120874;212500
120877;18400
120881;178500
120882;83900
120894;28000
120896;173900
120907;72000
120910;160400
120911;44200
120914;335670
120926;211000
120927;146100
120928;119500
120929;81800
120930;190900
120935;1000
120936;51900
120938;16300
120939;79000
120941;23000
120943;60800
120944;40800
120945;308000
120951;37000
120955;287800
120958;14500
120959;19500
120969;25600
120983;125200
120984;6150
120986;9600
120987;45250
120991;140700
120994;257500
120995;10000
120996;12500
120997;37866.6666666667
120998;32166.6666666667
120999;33500
121000;85000
121003;89000
121005;45000
121008;53000
121013;19000
121016;93000
121025;16000
121026;3000
121028;32500
121029;17000
121031;11216.6666666667
121032;35900
121033;8600
121035;110900
121037;121400
121040;75200
121042;41500
121043;111500
121044;80900
121045;195100
121046;36150
121056;54400
121060;4900
121061;19500
121063;18300
121065;15000
121066;23500
121067;16200
121068;190000
121070;133000
121071;16000
121072;54200
121073;116400
121074;17500
121075;34500
121076;102300
121077;13900
121078;3500
121079;12783.3333333333
121081;33400
121103;51500
121111;244800
121112;14000
121114;36566.6666666667
121115;163000
121117;89000
121119;41500
121120;77300
121122;55000
121132;30000
121136;62000
121156;4400
121159;23000
121165;48000
121166;232000
121167;73500
121174;137800
121175;25000
121185;5000
121187;39500
121188;10500
121197;11600
121203;30000
121204;23533.3333333333
121212;8300
121214;50000
121217;30000
121218;132000
121222;68000
121223;161730
121224;4000
121225;3200
121226;25450
121227;23600
121229;14800
121236;25000
121237;17700
121238;66000
121239;13000
121240;15500
121241;29150
121242;32100
121243;114100
121244;18500
121245;91200
121246;9700
121248;20000
121249;36166.6666666667
121251;268000
121252;45000
121253;278000
121256;38800
121257;155700
121258;16000
121259;58350
121260;268000
121261;70200
121262;94500
121263;529500
121265;32000
121266;66400
121267;93183
121268;425000
121270;24400
121272;3000
121275;7800
121276;12400
121279;372900
121280;25700
121287;84400
121288;32800
121290;10000
121292;26600
121298;4300
121299;12400
121305;9000
121307;31000
121309;25000
121310;30000
121322;6500
121326;195700
121327;7500
121332;63000
121335;93800
121337;133200
121342;39900
121351;230100
121354;108182
121357;7000
121358;1000
121359;14000
121360;16000
121363;10500
121369;1000
121375;9583.33333333333
121377;13200
121381;33800
121392;18500
121397;16000
121399;10800
121401;108600
121403;19000
121404;10950
121408;178000
121409;32500
121418;19000
121419;184900
121421;62000
121425;119200
121426;68000
121427;113900
121430;176200
121434;44100
121436;16900
121442;23700
121446;23000
121447;4500
121449;178375
121451;97600
121452;69900
121453;32200
121454;25600
121455;15300
121456;15000
121459;23000
121460;900
121461;10000
121463;24800
121464;23000
121465;50100
121470;71000
121471;67300
121472;35000
121476;23500
121477;4800
121482;51800
121483;43800
121484;47200
121490;31000
121491;20900
121492;2000
121493;5500
121494;31800
121497;3000
121499;10400
121501;44500
121509;66200
121513;37300
121521;80300
121526;47300
121528;12600
121531;18400
121534;41700
121539;25000
121546;143200
121547;287100
121550;30900
121552;539700
121554;52000
121555;24500
121556;253200
121558;43500
121559;181300
121560;474600
121563;10000
121568;112000
121574;108300
121576;224000
121598;89166.6666666667
121599;161000
121601;7000
121616;124700
121619;8000
121626;34000
121633;17500
121638;4100
121648;12700
121670;39000
121673;21000
121675;7000
121676;35000
121683;1800
121689;3000
121693;8000
121694;16700
121700;18000
121704;12300
121707;2500
121710;79400
121711;25000
121712;4500
121713;15000
121716;18200
121717;70600
121718;14760
121719;146500
121726;5000
121728;21400
121730;587300
121732;59500
121735;64400
121737;287500
121740;2000
121744;6700
121755;74000
121757;380833.333333333
121760;15000
121762;48600
121764;26400
121766;132000
121774;2200
121775;142600
121780;87400
121781;12000
121782;36350
121783;28000
121784;15000
121785;33566.6666666667
121786;14800
121792;17400
121794;17000
121800;7600
121801;2500
121802;31800
121803;12000
121805;114200
121806;12000
121822;5000
121827;11000
121830;26000
121831;17000
121832;13000
121852;7000
121853;90000
121874;200700
121876;52600
121877;41100
121878;141500
121884;145200
121886;19450
121887;25300
121890;73400
121893;30416.6666666667
121894;56400
121895;26000
121910;14300
121913;289600
121914;17700
121915;45000
121925;18000
121938;470300
121940;14500
121941;34000
121942;9000
121943;15500
121944;17000
126726;6900
126727;10000
126735;5000
126761;227300
126768;117000
126852;18000
126854;12000
126961;4600
126967;1000
127668;32600
127817;196000
127818;288400
127820;95700
128518;71500
128519;27000
128520;20000
128597;32400
128600;54200
128605;75133.3333333333
128978;8550
128984;66000
128985;11550
128992;9300
129027;10550
129028;15500
129064;7800
129065;63500
129075;23300
129076;145200
129077;230500
132523;30000
132651;26000
132652;11100
132886;93600
132894;12600
133093;13100
133142;22500
133358;185600
133503;38900
133504;97200
133515;57800
133516;71300
133529;60000
133530;43000
133531;33700
133532;16100
133533;22000
133534;15000
133539;10000
133564;55333.3333333333
133565;10500
133566;2000
133567;9550
133568;30000
133572;40400
133573;13000
133575;5000
133577;155000
133578;5900
133579;162000
133580;58300
133581;30083.3333333333
133582;107666.666666667
133587;21400
133588;36000
133591;215000
133592;38000
133594;41000
133596;93000
133598;2e+05
133600;23900
133602;10200
133603;23366.6666666667
133604;186500
133606;23500
133607;40500
133609;93500
133610;376000
133611;65000
133617;41000
133618;188500
133619;1e+05
133630;53200
133632;20000
133633;89600
133634;30000
133635;33700
133639;14900
133642;98000
133643;8300
133645;11500
133648;31900
133653;2500
133654;1200
133656;95900
133657;35000
133658;73600
133659;93700
133660;8000
133661;20500
133662;83100
133664;14000
133665;7000
133668;25000
133669;193630
133670;26000
133671;3700
133672;40000
133675;12000
133683;49000
133684;10000
133686;15000
133687;18600
133688;22000
133691;43000
133692;99000
133693;37300
133702;222000
133703;121000
133704;29000
133705;88500
133711;79000
133712;21000
133714;163600
133715;330000
133716;74000
133727;178000
133729;41700
133731;30900
133732;146700
133733;16100
133734;155860
133735;128000
133736;116833.333333333
133738;43000
133740;47300
133742;4500
133746;1800
133748;57100
133749;43200
133750;101300
133751;3000
133752;116800
133753;46000
133755;25000
133756;154600
133757;82666.6666666667
133759;87500
133760;88790
133761;49200
133762;40000
133763;210470
133764;81800
133765;399333.333333333
133767;131000
133769;175000
133770;227233.333333333
133773;99500
133774;218000
133775;16700
133776;150000
133777;27000
133778;85000
133779;97300
133780;21000
133781;17000
133782;34600
133783;26000
133784;30000
133785;21800
133786;9500
133787;93000
133789;328000
133790;82000
133791;110000
133792;244000
133793;32500
133796;9400
133797;30000
133807;61300
133817;2200
133818;11500
133819;26600
133820;72400
133821;17800
133822;13000
133823;7600
133824;12900
133825;32100
133826;54050
133828;13133.3333333333
133829;37600
133830;105000
133831;116500
133833;37200
133834;49600
133835;104200
133836;10200
133839;24500
133840;13000
133841;72000
133842;21000
133844;2800
133846;109000
133847;211000
133848;122000
133849;125300
133850;188900
133851;113500
133852;119580
133855;332000
133856;48000
133857;12600
133858;138000
133859;15600
133860;16900
133861;135000
133862;227000
133863;125000
133864;22800
133865;1600
133866;125000
133867;234366.666666667
133868;134000
133870;15000
133871;80800
133872;3900
133873;132000
133876;234900
133877;34300
133878;700
133880;54600
133881;57500
133882;13600
133884;10000
133886;10900
133887;125000
133888;15000
133889;41500
133890;422000
133891;267800
133895;600
133896;5200
133897;41200
133898;64500
133899;23000
133901;33500
133902;24100
133903;43600
133907;23000
133909;164700
133910;198000
133911;58200
133914;7000
133915;197000
133916;27200
133917;47900
133918;129200
133919;172900
133920;18833.3333333333
133924;28000
133926;23000
133927;46500
133931;160016.666666667
133932;13200
133933;3000
133937;1500
133938;155000
133940;12266.6666666667
133941;18600
133944;34200
133947;2900
133950;2500
133951;193000
133952;11400
133953;9000
133954;114900
133957;234950
133962;5000
133964;175300
133965;310000
133966;24200
133967;18500
133968;8000
133969;76500
133970;123300
133971;107600
133972;173500
133973;60000
133975;1e+05
133976;198100
133977;20900
133979;10150
133980;68000
133981;46600
133982;1600
133983;2700
133988;32500
133989;50000
133991;43000
133994;65500
133995;5500
133997;68000
134000;500
134005;37000
134006;105000
134009;11400
134012;30000
134014;641700
134016;12500
134017;264300
134019;31500
134021;103900
134022;56600
134027;45000
134031;96550
134032;5000
134033;2000
134034;4600
134035;119000
134036;66400
134037;363350
134040;36800
134043;84400
134048;18000
134050;125200
134051;68900
134052;43500
134053;66900
134054;69700
134055;41200
134056;36600
134058;20000
134060;24000
134062;77000
134066;39133.3333333333
134067;94000
134068;53500
134070;185600
134071;35000
134074;3400
134075;199500
134076;212000
134077;71000
134078;288850
134079;200500
134080;33000
134081;81700
134082;1000
134083;60000
134084;198500
134085;126300
134086;13000
134087;53000
134088;16000
134089;108866.666666667
134090;148683.333333333
134091;243200
134092;147000
134093;137000
134096;45000
134097;170200
134099;146100
134100;38800
134101;107700
134102;108500
134103;72600
134105;1200
134106;10700
134109;14000
134114;44500
134115;72000
134116;105000
134117;6000
134119;40000
134126;22800
134132;85000
134136;1500
134137;133000
134138;99000
134139;203000
134141;30000
134142;205000
134143;74600
134144;50000
134145;163000
134146;226100
134147;10000
134150;86000
134151;86600
134152;59500
134153;29000
134155;136400
134158;12000
134160;23500
134161;6000
134167;103750
134175;8600
134177;340600
134179;40000
134180;291700
134192;65800
134193;35800
134194;11200
134195;3000
134196;57000
134197;166400
134198;527500
134199;85400
134204;78300
134205;176000
134206;54950
134210;15000
134211;37000
134214;30000
134215;66000
134216;28100
134217;43000
134218;13500
134219;114500
134222;26500
134227;2000
134230;39000
134231;36800
134232;44900
134233;95000
134234;50500
134235;26600
134236;38700
134237;26000
134238;20000
134240;195500
134241;250400
134242;129500
134245;101800
134246;4000
134247;87200
134248;83900
134250;22000
134252;13300
134253;54000
134254;116000
134255;7400
134256;34200
134258;36600
134263;10500
134264;148400
134265;64200
134266;150700
134267;40000
134268;124000
134269;5000
134270;29000
134271;67350
134273;108000
134274;2000
134275;30000
134276;25000
134277;68000
134278;39400
134279;25000
134280;12000
