"DIRECTORIO";"Viajes";"Servicios"
119568;0;60300
119569;0;0
119570;0;46500
119572;0;31000
119573;340000;38000
119574;0;64700
119575;0;16600
119576;1800000;50000
119577;0;65000
119578;0;14300
119579;0;16000
119580;0;17000
119581;0;0
119582;0;0
119585;0;0
119586;0;0
119587;0;0
119588;99;56000
119589;0;25000
119590;1100000;25000
119592;0;50000
119594;0;0
119597;1800000;0
119598;0;0
119599;0;168000
119601;0;36000
119602;0;178000
119603;0;10000
119604;0;30033
119605;0;36666.6666666667
119606;0;19500
119608;0;24500
119609;0;0
119610;0;30000
119611;0;95000
119612;0;70000
119613;0;45000
119614;0;20000
119615;0;21000
119616;0;16042.3333333333
119618;2e+06;15084.7142857143
119620;0;296000
119621;0;0
119622;0;0
119624;0;19000
119626;760000;9700
119627;0;0
119629;0;0
119630;0;0
119631;0;0
119632;0;0
119633;0;0
119634;0;0
119635;0;0
119637;0;0
119639;0;50000
119640;290000;53800
119642;0;99600
119643;0;41300
119644;0;100502
119648;0;67000
119649;0;57800
119650;0;86500
119651;0;57050
119654;0;105000
119655;0;112900
119656;0;178000
119657;0;155000
119658;9e+05;113300
119660;0;118000
119662;0;97600
119663;0;0
119664;0;43000
119665;0;52510
119668;0;35500
119669;2e+05;31564
119670;80000;93878.5
119671;1e+05;79999
119673;0;22025
119674;0;36000
119675;0;60905
119678;0;70503.3333333333
119682;0;145776
119683;0;195000
119685;0;0
119686;0;82900
119687;0;0
119688;0;365000
119690;0;51173
119692;0;1442632
119693;0;169747
119696;0;89454
119698;0;223723
119699;0;264152
119700;0;85832
119702;0;95000
119703;0;115000
119704;3e+05;130769
119706;0;82000
119707;0;129000
119711;3e+05;88000
119712;0;35829
119713;0;247445
119715;80000;13000
119716;250000;144800
119717;0;80219
119718;0;16500
119719;0;25000
119720;0;26000
119721;0;0
119722;370000;37000
119723;0;24000
119724;0;25000
119726;0;14200
119729;0;21845
119730;0;15970
119732;0;58750
119734;0;8000
119735;0;8000
119737;0;188784
119739;0;20000
119740;0;73950
119743;0;62500
119748;0;14600
119750;0;28350
119752;0;33400
119753;0;18700
119754;0;33666
119756;0;38000
119757;0;48000
119758;0;13000
119759;0;15000
119761;1.6e+07;794000
119766;0;705000
119782;0;382947
119783;0;271833.333333333
119785;0;397364
119795;0;227700
119796;0;248199
119797;0;188500
119799;0;273467
119808;0;252837
119809;0;140000
119810;0;65000
119811;0;47962
119812;0;51089
119813;50000;20000
119814;0;57830
119816;0;86000
119817;0;57835
119818;0;122330
119819;0;115000
119826;0;17000
119829;0;389073
119831;0;132000
119833;0;47000
119834;0;205900
119835;0;59000
119837;5e+05;50000
119838;3e+05;40000
119839;4e+05;52000
119841;9e+05;157000
119849;0;38590
119856;0;44704
119858;0;37000
119859;0;140000
119860;0;44400
119863;0;60000
119864;0;48290
119872;0;1e+05
119876;0;27770
119878;0;29483
119880;0;31863
119881;0;24000
119883;0;40437
119884;0;16903
119886;0;33503
119887;0;47503
119889;0;17960
119890;0;9503
119891;0;75920
119892;0;34601
119893;0;76600
119894;0;17773
119895;0;0
119896;0;44458
119897;0;150000
119900;0;135478
119901;0;1500
119905;0;75000
119907;0;206700
119908;0;49500
119909;0;14000
119910;0;20000
119911;5e+05;185000
119913;0;85485
119914;0;41874
119915;0;65258
119917;0;43849
119920;0;56000
119921;2e+05;33697
119922;0;34938
119923;0;44023
119924;0;74192
119925;0;41617
119926;0;76118
119928;70000;9500
119929;0;122418
119930;0;122418
119931;50000;26465
119934;3e+05;1e+05
119935;0;259800
119936;6e+05;0
119937;0;280000
119938;0;2e+05
119939;0;456000
119940;0;182000
119942;2e+06;235731
119945;0;134000
119946;1350000;369940
119948;0;248000
119949;0;230000
119950;0;252000
119951;0;175000
119952;0;172680
119953;0;198675
119954;0;290480
119956;0;50000
119959;0;10000
119961;0;39000
119962;0;99000
119963;0;90000
119964;0;211771
119965;0;247385.5
119967;0;162408
119970;0;238590
119971;0;163661
119972;0;140500
119973;0;306245
119976;0;270656
119980;0;2971953
119981;0;250727
119982;0;163704
119984;0;115900
119985;0;0
119991;0;145326
119995;0;114000
119996;0;77000
119997;0;84000
120001;0;68800
120002;0;106100
120005;0;94425
120006;0;236632
120008;0;0
120010;0;51806
120011;0;92936
120012;0;33510
120013;0;67570
120014;0;43900
120017;0;156974
120018;0;23000
120019;0;67500
120021;0;72742
120022;50000;56900
120026;0;26365
